pair,mean_spread,final_spread,pair_cv,pair_coef,pairs_in_race,num_trades,profitable_trades,losing_trades,pc_trades_prof,pair_profit,pair_profits_list
h10460778_h26354103,21.34275862068965,15.770000000000001,-4.071098014369397,-0.6187703977550025,3,1,0,1,0.0,-0.1712087912087874,[-0.17]
h16117340_h21734643,116.76655172413793,159.02,-3.5870926503834397,-0.6893430471027097,3,1,0,1,0.0,-0.22320000000000206,[-0.22]
h12988779_h9389105,-34.355862068965514,-37.83,-3.7125709489746797,-0.14103360432819054,2,1,0,1,0.0,-0.21373498991702178,[-0.21]
h11265092_h14468822,7.336896551724139,6.04,-3.6590015608825768,-0.6606391397175964,5,1,0,1,0.0,-0.1433008860912217,[-0.14]
h11265092_h18729822,0.5451724137931035,-2.0600000000000005,-4.4378023610996,-0.8039027530039795,5,1,0,1,0.0,-0.025585209823075772,[-0.03]
h18729822_h6867,4.063103448275863,3.4000000000000004,-3.614199887836471,-0.30170454527475976,5,1,1,0,100.0,0.007937117800015159,[0.01]
h10604603_h17279998,-128.41379310344823,-161.94,-4.864632908464587,-0.7630178679040701,4,1,0,1,0.0,-0.4233528948487004,[-0.42]
h17279998_h21517635,101.77206896551724,147.94,-3.982293421940965,-0.4811689760867499,4,1,0,1,0.0,-0.41874790044068533,[-0.42]
h17279998_h23477600,119.07827586206895,151.73,-4.263428956165791,-0.6861159986199279,4,1,0,1,0.0,-0.23428062294153662,[-0.23]
h11221350_h41127,-219.33275862068962,-587.46,-3.7502326886084307,-0.34528940367030336,2,1,0,1,0.0,-0.12885984152108776,[-0.13]
h28075791_h30352,269.21655172413796,560.04,-4.181417678499263,-0.4407456990500256,2,1,0,1,0.0,-0.46500680272107076,[-0.47]
h11194759_h18824931,18.113448275862073,23.0,-3.6792885243298508,-0.4846201990081325,1,2,0,2,0.0,-0.3773787036602769,"[-0.09, -0.29]"
h15259795_h18172592,0.5806896551724141,-3.289999999999999,-3.9539649174577067,-0.32009600702374363,3,1,1,0,100.0,0.06903367515168313,[0.07]
h15259795_h19561090,12.396896551724137,9.4,-4.484547161509307,-0.5172353566015979,3,1,0,1,0.0,-0.008479184367034875,[-0.01]
h15259795_h19667106,-19.219310344827587,-67.47,-3.9276915825737677,-0.23486176841573692,3,1,0,1,0.0,-0.29385857597259246,[-0.29]
h11868553_h13663998,119.69724137931034,149.74,-3.855249404216144,-0.6423398480640776,2,1,1,0,100.0,0.37492216687420665,[0.37]
h2002406_h27589105,-167.12482758620695,-252.04,-3.7957815264050208,-0.5300874546307521,3,1,0,1,0.0,-0.2706992771806087,[-0.27]
h24926033_h27589105,-164.8213793103448,-255.79999999999998,-3.580894011909621,-0.5025413771286806,3,1,0,1,0.0,-0.35371814510513566,[-0.35]
