distance_furlongs,race_type,course,race_length
5,Flat,Ascot,61.15019
5,Flat,Ayr,61.03916
5,Flat,Bath,62.71723
5,Flat,Bellewstown,60.63518
5,Flat,Beverley,63.76729
5,Flat,Brighton,63.16815
5,Flat,Carlisle,62.06153
5,Flat,Catterick,60.76975
5,Flat,Chelmsford_City,59.56811
5,Flat,Chepstow,60.27561
5,Flat,Chester,62.01969
5,Flat,Cork,60.05816
5,Flat,Curragh,62.14438
5,Flat,Doncaster,60.64475
5,Flat,Down_Royal,60.73247
5,Flat,Dundalk,59.60212
5,Flat,Epsom_Downs,55.58365
5,Flat,Ffos_Las,59.4367
5,Flat,Folkestone,60.80887
5,Flat,Goodwood,58.86723
5,Flat,Great_Leighs,60.40324
5,Flat,Hamilton,60.57959
5,Flat,Haydock,61.30602
5,Flat,Kempton,60.93872
5,Flat,Leicester,61.85338
5,Flat,Lingfield,59.06101
5,Flat,Musselburgh,61.467
5,Flat,Naas,61.57605
5,Flat,Navan,64.08697
5,Flat,Newbury,62.11092
5,Flat,Newcastle,60.74824
5,Flat,Newmarket,60.66265
5,Flat,Nottingham,62.51444
5,Flat,Pontefract,64.14948
5,Flat,Redcar,59.51594
5,Flat,Ripon,60.61374
5,Flat,Royal_Ascot,60.16886
5,Flat,Salisbury,61.7924
5,Flat,Sandown,62.15254
5,Flat,Southwell,60.21336
5,Flat,Thirsk,60.01059
5,Flat,Tipperary,60.14456
5,Flat,Tralee,65.36667
5,Flat,Warwick,61.36701
5,Flat,Windsor,61.38661
5,Flat,Wolverhampton,62.12874
5,Flat,Yarmouth,63.18145
5,Flat,York,60.32189
6,Chase,Clonmel,293.0
6,Flat,Ascot,75.31127
6,Flat,Ayr,73.53046
6,Flat,Ballinrobe,76.35947
6,Flat,Bath,71.63077
6,Flat,Bath_Arab,78.86
6,Flat,Brighton,71.00915
6,Flat,Carlisle,74.73815
6,Flat,Catterick,74.50536
6,Flat,Chelmsford_City,72.33027
6,Flat,Chepstow,73.05343
6,Flat,Chester,74.98793
6,Flat,Cork,74.09624
6,Flat,Curragh,75.12074
6,Flat,Doncaster,73.93625
6,Flat,Dundalk,72.57028
6,Flat,Epsom_Downs,70.09534
6,Flat,Fairyhouse,75.74074
6,Flat,Ffos_Las,71.93522
6,Flat,Folkestone,73.22851
6,Flat,Goodwood,72.71597
6,Flat,Great_Leighs,73.66024
6,Flat,Hamilton,73.01832
6,Flat,Haydock,74.6527
6,Flat,Kempton,72.97606
6,Flat,Laytown,71.79294
6,Flat,Leicester,73.11067
6,Flat,Leopardstown,75.93556
6,Flat,Limerick,84.3
6,Flat,Lingfield,72.01759
6,Flat,Listowel,85.24967
6,Flat,Musselburgh,61.76
6,Flat,Naas,72.71459
6,Flat,Navan,73.31
6,Flat,Newbury,74.71283
6,Flat,Newcastle,74.24885
6,Flat,Newmarket,73.01932
6,Flat,Nottingham,75.03599
6,Flat,Pontefract,77.80029
6,Flat,Redcar,72.4953
6,Flat,Ripon,73.49432
6,Flat,Royal_Ascot,73.71585
6,Flat,Salisbury,75.38544
6,Flat,Sligo,91.38187
6,Flat,Southwell,76.66211
6,Flat,Thirsk,73.11654
6,Flat,Tipperary,67.59
6,Flat,TurfTV_Extras,81.39
6,Flat,Warwick,70.86246
6,Flat,Wetherby,66.97913
6,Flat,Windsor,73.13413
6,Flat,Wolverhampton,75.01618
6,Flat,Yarmouth,73.92471
6,Flat,York,72.33998
6,Hurdle,Clonmel,282.0
6,Hurdle,Gowran_Park,299.7
7,Flat,Ascot,88.69224
7,Flat,Ayr,93.41756
7,Flat,Bath,98.75
7,Flat,Beverley,94.01661
7,Flat,Brighton,85.02964
7,Flat,Carlisle,88.15216
7,Flat,Catterick,87.95278
7,Flat,Chelmsford_City,85.57075
7,Flat,Chepstow,84.20929
7,Flat,Chester,89.16946
7,Flat,Cork,89.86505
7,Flat,Curragh,88.33106
7,Flat,Doncaster,87.12932
7,Flat,Down_Royal,88.555
7,Flat,Dundalk,85.69159
7,Flat,Epsom_Downs,84.15382
7,Flat,Fairyhouse,90.89545
7,Flat,Ffos_Las,95.11226
7,Flat,Folkestone,87.71131
7,Flat,Galway,91.33561
7,Flat,Goodwood,87.77902
